source,title,link,location,desc
bizbuysell,High End Pharmacy For Sale  - 26609,/Business-Opportunity/High-End-Pharmacy-For-Sale-26609/1160331/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"New York County, NY","
                                        This pharmacy is located on a busy street in Harlem. This pharmacy does approx 800 Rx per week and has a yearly revenue of almost $3,100,000. With its large size, almost 3,000 square feet, it gives a buyer the ability to generate business not only from the pharmacy but they can incorporate a large front end retail business. The register sales can easily double if managed correctly. The pharmacy is Medicare accredited and generates $400,000 in sales in DME sales. Mainly incontinence and mobility devices. This adds a third component to the business model. With the right vision and right managements the cash flow could grow exponentially given the space and contracts already in place.  Please refer to the Confidentiality Agreement below for further information. 

Attention Business Owners:
We are always in search of quality businesses to list, so if you are thinking of selling your business or would like to acquire another business, please email us at listingmanager@vestedbb.com or call us at 1-877-735-5224 to discover the difference that is Vested Business Brokers.
                                    "
bizbuysell,Home Care Company for sale,/Business-Opportunity/Home-Care-Company-for-sale/1105531/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,MA,"
                                        Profitable home care company with multiple contracts and private pay clients. We service Hampden, Hampshire, Franklin County and the Berkshires. Staff is licensed and trained. You could relocate the business or just move right in! Office is fully furnished and operating.
                                    "
bizbuysell,Massage Establishment,/Business-Opportunity/Massage-Establishment/1093447/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Fairfax, VA","
                                        Great location with exceptional visibility, plenty of surface parking, national tenants and anchors. Beautiful upscale facility, furnishings. Space includes 2 over-sized fully furnished and equipped treatment rooms which could be subdivided into 4, shared reception/retail area. Currently staffed with several talented licensed massage professionals.

Space is shared with a full service salon located in the back of the facility generating potential cross referrals. Both salon and massage/retail establishment can be purchased together for $250,000.

Rent on approximately 500 square feet, fully furnished reception with retail display and hot/cold water dispenser, washer/dryer access, storage, access to common area bathrooms and shower, is $1,500 NNN, share of utilities is $300/month. (Rental rate subject to retaining a sub-renter who is already in place). Subject to be re-negotiated after 3 year term.  No percentage rent, you keep 100% of revenues generated. Can share reception services with salon or provide own.
                                    "
bizbuysell,In-Home Senior Care * Staffing*Assisted Living Services,/Business-Opportunity/In-Home-Senior-Care-Staffing-Assisted-Living-Services/1160236/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Toledo, OH","
                                        THIS IS A TOP NAME IN-HOME SENIOR CARE FRANCHISE. WE RARELY SEE THIS BRAND FOR SALE! You will walk into existing sales and a nice office, with great internal staff and quality care givers.  Personal issues are driving the sale and the seller is motivated. All offers will be considered. The infrastructure is in place, but the current owner never became fully engaged in the operation and a marketing strategy has never been fully implemented. There is tons of growth potential for this location with an owner/operator inside at the wheel willing to roll up their sleeves and execute a smart marketing program. This is a single territory location in a booming market with great brand recognition and options for multiple revenue streams. With some effort on your part you should be able to turn this business into something to be proud of as well as make yourself a terrific living!

*** The asking price includes various franchise fees, but a new owner will need an additional 60k working capital available to kick-start the marketing

Extensive training & support will be provided from the franchisor and the seller.  YOU DO NOT NEED TO HAVE A MEDICAL OR RELATED BACKGROUND TO BE SUCCESSFUL IN THIS BUSINESS. 

This is a non-medical home care provider assisting primarily seniors over the age 65 with assistance in the activities of daily living including both companion care and hands-on personal care services. The brand offers a continuum of care (beyond basic companionship) which places it at the forefront of the industry and gives a strategic advantage in the marketplace.


***********************IMPORTANT************IMPORTANT*******************

LOOK FOR an automatic email response from Ted Kolb within five minutes of submitting your request for information. The email will contain a link to our quick 3-minute online NDA. We will contact you to discuss the details of the business shortly after the NDA has been submitted.BE SURE TO CHECK YOUR SPAM or JUNK MAIL FOLDER. 

*********************************************************************************
The seller and the franchisor wished us to keep this sale confidential which is why we are not publishing sensitive financial information or the name.

**** IMPORTANT **** Information in this ad may not reflect the most recent data on the business being sold. Always consult your financial adviser, attorney, or a licensed CPA prior to making any offers on this business. All information concerning this business will be supplied by the franchisor or the actual seller. Blue Stone Business Group has not verified any earnings claims, EBITDA, Cash Flow or add-back numbers. You will need to verify all information with the seller and/or your accountant. Blue Stone Business Group or Patrick Sherman is not responsible for the accuracy of any of the information and you agree to indemnify and hold consultant and its agents harmless from any claims or damages which may occur by reason of the inaccuracy or incompleteness of any information provided to you.
                                    "
bizbuysell,Personal Fitness Training Studio,/Business-Opportunity/Personal-Fitness-Training-Studio/1160086/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Jackson, CA","
                                        Want to step into a well established business in a prime high traffic location?
Want to make a difference in the lives of others. Interested in the growing fitness industry. Do you like working with state of the art equipment and highly motivated professionals? Then take a look at this business.
An established Personal Training studio providing quality personalized fitness, Yoga and Pilates in a state of the art , private setting. The majority of our revenue comes from clients who want one-on-one service, undivided attention and fitness knowledge with a focus on goals and results. This is achieved in a setting with private workout rooms, and state of the art equipment and knowledge, certified personal trainers, working under supportive leadership.
Bodies N Balance is established as a S-Corp, and is currently located in Jackson, California where it began operations in 2008 and has
been profitable since its opening. 
Since 2004 the fitness industry has grown 46% into a 21.4 billion dollar industry. The industry is expected to grow another 29% by 2018.
This business is ready for the right person to step into the leadership role, working with professional trainers.
                                    "
bizbuysell,Rapid growth medical device manufacturer,/Business-Opportunity/Rapid-growth-medical-device-manufacturer/1160035/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Chatsworth, CA","
                                        This business has been around since the 1940's making electrolysis machines (which it stopped a few months ago to focus on the core business).  In 1980's the R.A. Fischer Company started making Iontophoresis machines which are for the indication of hyperhidrosis (primarily sweaty hands and sweaty feet).  In the 2005, the A.R. Hinkel Company bought the R.A. Fischer Company.  The Iontophoresis business continued to do well.  In 2013, A.R. Hinkel launched a new web property for the Iontophoresis business (sweatlesshands.com), and invested heavily into social media and online marketing.  As a result of the increased focus on marketing and difference purchasing terms, the Iontophoresis part of the business is up 73% in the trailing twelve month period over last year.  

The A.R. Hinkel Co. also made electrolysis equipment.  In a decision to focus exclusively on the Iontophoresis business coupled with sluggish sales on the electrolysis business, the decision was made a few months back to shut down the electrolysis business, as it was having a negative impact on profits.  The financials that are provided include the Electrolysis business, so on a pro-forma basis, the revenue might not be as high in the next 12 months, but the profits of the business should be the same or better.  If the new ownership continued to focus on marketing, the business should have a very bright future as there is a significant market opportunity out there.
                                    "
bizbuysell,Established Home Healthcare/Staffing Franchise Available,/Business-Opportunity/Established-Home-Healthcare-Staffing-Franchise-Available/1151147/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Wichita, KS","
                                        This reputable senior care franchise has a well-established single territory available in Wichita.  The single office business provides several revenue streams:
•	Non-medical in-home care
•	Light skilled nursing
•	Personal care support
•	Temporary medical staffing

With 20% of the U.S. population reaching over the age of 65 by 2030, the $55 million senior care market offers a significant, recession proof business opportunity.  

This is an excellent chance to pick up an established territory of over 64,000 seniors with experienced staff, hours and plenty of room for growth. 
It is the business for you if you have management/leadership or team building experience and good interpersonal and communication skills.  Owners do not need to have healthcare experience!

Due to the wishes of the seller and the franchisor to keep this sale confidential, the name nor sensitive financial information is available at this time nor by email.  Contact us for more details at 855-728-1970.
                                    "
bizbuysell,Established Home Healthcare/Staffing Franchise Available,/Business-Opportunity/Established-Home-Healthcare-Staffing-Franchise-Available/1118719/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Windermere, FL","
                                        This reputable home health care franchise has a single territory available in Windermere providing several revenue streams: 

•	Non-medical/Companion care
•	Skilled medical care
•	Personal care 
•	Facility staffing
•	National accounts

With 20% of the U.S. population reaching over the age of 65 by 2030, the $55 million senior care market offers a significant, recession proof business opportunity.  This business model differentiates from others because they offer a full continuum of care for all ages.

This is an excellent chance to pick up an established territory of 200-250,000 with experienced staff, hours and plenty of room for growth.

It is the business for you if you have management/leadership or team building experience and good interpersonal and communication skills.  Owners do not need to have healthcare experience!

Due to the wishes of the seller and the franchisor to keep this sale confidential, the name nor sensitive financial information is available at this time.  Contact us for more details.
                                    "
bizbuysell,Two Established Medical Lab Franchises,/Business-Opportunity/Two-Established-Medical-Lab-Franchises/1158992/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Mesa, AZ","
                                        TWO established premier medical lab-testing franchises are available for acquisition.  They have adjacent east valley territories that are only 12 minutes apart from each other.  Both stores are currently operating and are profitable businesses with fully trained staff in place.  They both have a strong customer base and also a strong online presence.  This is a recognized brand with about 140 franchises nationwide. No healthcare experience required for owning or operating. It could cost up to approximately $160k to build out and open just one location and you can get BOTH for this amazing low price.  Call now to learn more about this opportunity.
                                    "
bizbuysell,Medical Imaging Company,/Business-Opportunity/Medical-Imaging-Company/1152654/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Philadelphia, PA","
                                        Top of the line medical imaging company that provides a patient friendly environment in the comfort of a completely modern and private outpatient facility. The company is divided into four departments that provide the following services:

1. Radiology - All images read on site. Use Siemens radiology machines. Services include:
- MRI
- CT Scan
- Nuclear Medicine
- Ultrasound
- X-Ray
- Mammography
- Dexa Scan

2. Oncology - Diagnostic imaging available on site. Services include:
- Radiation therapy (IMRT)
- Chemotherapy

3. Cardiology
- Stress tests
- Echocardiology
- Stress Echo
- Coronary CTA

4. Sleep Center - Consists of 4-room sleep center that are designed to look like a residential bedroom. The patient must stay at the center overnight while physicians and technologists conduct tests and monitor vital symptoms to deduce an official diagnosis. All tests are performed on REMbrandt sleep monitoring and analysis systems.

All medical equipment are first-rate and only trusted brands that are global leaders in the medical field are used.
                                    "
